中國	313804
一個	310502
人民	241876
我們	197486
程式	192744
他們	187938
國家	187038
沒有	180090
全國	164008
代表	149852
什麼	148276
發展	143362
經濟	136404
社會	131828
委員	130960
大會	126110
這個	122620
辨識	120000
問題	111872
進行	109698
表大	103036
已經	102578
武漢	100560
這樣	99706
民代	98891
安門	95550
員會	95346
主義	95204
天安	94871
這些	94806
技術	93370
大學	91934
自己	91095
地區	90917
生產	89724
學習	87742
學院	84258
起來	82558
這種	81846
美國	80258
工作	77366
領導	77186
資料	76942
企業	76898
開始	76370
歷史	74380
學生	73316
因為	72998
成為	72016
國人	72012
透過	71936
時候	71846
可以	71058
時間	70254
關係	69815
政府	69552
工業	69058
應用	68494
現在	68314
決定	67474
網路	67158
公司	66226
情況	66006
運算	65563
同時	65400
組織	64366
一種	63836
出來	63384
會議	63114
市場	61894
檔案	61545
怎麼	60706
認為	60700
由於	60362
式碼	60142
設定	60070
國際	59668
兩個	59448
第一	58767
這裡	58716
主要	58180
作為	57952
地方	57323
機關	57250
自治	57240
活動	56636
長江	56298
建設	55982
湖北	55518
處理	55034
不是	54608
根據	54594
產品	54356
許多	53302
運動	53022
系統	52891
世界	52857
人大	52760
之間	52184
行政	51956
科學	51942
語音	51932
面積	51848
資本	51654
出現	51322
記者	51300
北京	51145
計劃	50592
委會	50578
伺服	50311
服器	50202
中央	50064
用程	50037
捷運	50018
音辨	50000
發現	49902
影響	49806
規定	49766
人們	49706
發生	49596
世紀	48904
中華	48852
雖然	48534
研究	47478
語言	47072
文化	47072
人員	46536
一樣	46528
編輯	46512
參加	46044
組成	45882
各種	45842
戰爭	45758
部分	45713
漢市	45600
職業	45286
軍事	44792
國民	44662
智慧	44365
我國	44240
旅遊	44184
民族	43871
必須	43774
人工	43701
增長	43496
以後	43294
知道	42971
你們	42878
實際	42550
說道	42336
應該	42176
為了	42146
建築	42012
之後	41842
有關	41220
勞動	41162
農業	41026
專案	40948
時期	40856
資源	40744
如果	40724
價值	40402
連線	40342
國務	40228
不過	40204
品質	40192
螢幕	40122
轉錄	40064
預設	40057
視窗	40055
偵測	40012
工智	40000
料夾	40000
健保	40000
識度	40000
使用	39994
東西	39984
不會	39898
部門	39812
政體	39760
特別	39705
各級	39684
共和	39659
政治	39617
重要	39585
學校	39452
最後	39326
基礎	39266
常委	39159
產生	39074
機構	38992
機器	38992
負責	38902
方面	38857
當時	38396
這麼	38382
保護	38208
那麼	38004
下來	37800
執行	37788
不能	37717
環境	37630
群眾	37622
常務	37544
檢察	37514
選舉	37434
還有	36974
和國	36938
進入	36908
過程	36902
石首	36894
條件	36822
革命	36559
對於	36128
自然	36121
過去	36010
舉行	35848
第二	35728
管理	35711
單位	35706
務院	35508
理論	35208
可能	34994
報告	34914
教育	34808
記憶	34534
專業	34470
一點	34318
不同	34262
其中	34225
一些	34063
生活	34000
開發	33864
藝術	33812
人口	33683
投資	33600
一聲	33546
模型	33265
統治	33152
分別	33150
準備	33088
現代	32926
獲得	32882
所以	32721
英國	32672
經過	32504
然後	32502
表現	32386
一般	32224
比較	32148
億元	32116
結構	32068
治區	32020
覺得	32014
深度	32011
飛行	31800
不斷	31724
集團	31698
統一	31456
規模	31366
內容	31214
華人	31140
聯合	31038
達到	30976
新聞	30932
實行	30818
任務	30804
以及	30784
原來	30720
變化	30700
務委	30688
實現	30660
理器	30594
服務	30548
憶體	30510
演算	30301
共產	30284
設計	30226
硬碟	30138
列印	30119
算法	30118
存取	30076
悠遊	30056
度學	30036
配送	30012
北投	30004
句號	30000
逗號	30000
遊卡	30000
點擊	30000
器學	30000
大語	30000
言模	30000
民共	29946
咱們	29892
建立	29675
荊州	29618
階級	29498
繼續	29442
期間	29434
國內	29320
位於	29314
一次	29302
權力	29274
廣場	29244
解決	29222
幾個	29172
那個	29106
稱為	28862
能夠	28770
工程	28729
會主	28722
先進	28442
日本	28268
部隊	28212
一步	28178
結果	28132
後來	28122
鐵路	28064
但是	28055
解放	27799
政區	27782
城市	27771
產業	27678
需要	27566
會常	27546
不僅	27544
關於	27534
民政	27515
中心	27494
區域	27305
於是	27184
這時	27130
主席	26979
個人	26976
當然	26592
其他	26420
襄陽	26414
那裡	26282
相關	26206
形成	25996
重點	25966
其實	25804
一定	25703
分佈	25650
超過	25482
基本	25456
釋出	25421
產黨	25290
農民	25266
具有	25246
雲端	25190
計算	25180
法律	25137
公所	25100
以上	25049
日誌	25034
額度	25012
區公	25010
推送	25000
端運	25000
電子	24832
法國	24824
回來	24790
豐富	24752
它們	24718
作用	24620
裝置	24520
價格	24514
採用	24396
範圍	24320
指揮	24234
模擬	24178
要求	24085
聯絡	24062
包括	24052
軍隊	24022
以來	24016
選擇	24016
發言	24006
為主	23922
時代	23818
制度	23802
整個	23792
農村	23614
瞭解	23575
目標	23496
甚麼	23434
銀行	23432
因此	23297
所有	23290
皇帝	23268
上海	23221
傳統	23194
大常	23116
北省	23105
平方	23028
綜合	22990
汽車	22906
比賽	22898
察院	22887
標準	22810
專家	22808
民黨	22748
如何	22729
公里	22717
一條	22680
獨立	22672
而且	22638
過來	22616
學家	22584
最高	22569
動物	22308
加強	22302
知識	22298
提出	22175
作戰	22150
來說	22046
之一	21985
告訴	21918
如此	21879
城樓	21876
實施	21830
進一	21784
德國	21744
嚴重	21740
心裡	21712
本級	21626
電話	21562
辦法	21562
憲法	21552
事業	21426
階段	21420
民主	21378
帝國	21236
隨著	21234
鬥爭	21175
意見	21172
導彈	21122
終於	21090
戰略	21064
積極	20920
科技	20888
詞條	20888
文學	20874
堅持	20836
能力	20778
幹部	20761
戰鬥	20747
說話	20742
聲音	20720
言人	20708
中學	20702
臺灣	20600
歐洲	20548
人類	20506
機會	20472
開放	20432
反對	20386
敵人	20356
改變	20354
具體	20336
毛澤	20294
先後	20248
資訊	20223
小寶	20178
經驗	20160
澤東	20156
孩子	20105
領域	20100
原則	20096
游標	20078
三個	20068
看見	20050
韌體	20028
嘆號	20013
報道	20012
問號	20012
驚嘆	20008
漸凍	20000
凍人	20000
擬飛	20000
轄市	19976
消費	19946
還是	19850
表示	19836
二十	19827
父親	19792
兒子	19736
韋小	19732
喜歡	19728
採取	19728
改革	19697
長期	19670
這次	19664
大家	19630
無法	19596
幾乎	19514
書記	19492
音樂	19456
思想	19367
多數	19360
直轄	19280
穩定	19252
法規	19244
行動	19146
為什	19122
飛機	19048
方法	18980
畢業	18920
建議	18842
不知	18815
行為	18808
大橋	18804
訓練	18748
明顯	18724
眾人	18708
反應	18700
得到	18692
化學	18682
東北	18660
認識	18658
一直	18599
保證	18566
方式	18549
現象	18548
山區	18546
貨幣	18526
一下	18466
勝利	18456
目前	18414
物質	18364
幫助	18308
召開	18294
機械	18280
調查	18220
結合	18206
增加	18206
結束	18172
特點	18160
介紹	18144
或者	18139
際上	18064
機場	18026
秘書	17996
說明	17976
監督	17966
一陣	17930
人數	17844
只見	17816
那樣	17776
愛國	17684
權利	17670
不可	17669
小時	17662
萬元	17616
市長	17586
意義	17582
來到	17564
設立	17564
百科	17470
經營	17464
擴大	17456
官員	17396
指導	17368
海軍	17344
國共	17318
調整	17312
體育	17294
考慮	17288
專門	17280
先生	17225
此時	17218
擁有	17210
行業	17210
十分	17202
狀態	17156
並且	17126
提高	17121
相當	17120
師父	17094
提供	17091
細胞	17090
資產	17090
第三	17074
不得	17046
氣候	17038
質量	17028
實驗	17022
一切	17006
動力	16972
商業	16918
電視	16908
總理	16866
少數	16792
外國	16788
性質	16768
分為	16746
業務	16740
美元	16732
完成	16695
運輸	16680
廣泛	16680
別人	16678
考試	16672
最大	16562
臉上	16500
責任	16490
股東	16490
外交	16431
大陸	16426
展開	16406
用於	16368
那些	16360
醫院	16352
母親	16350
有時	16340
實在	16280
財產	16258
主任	16257
身體	16254
體系	16235
非常	16227
合作	16207
存在	16206
形式	16177
東南	16156
製造	16136
發表	16122
國防	16086
不要	16083
有人	16059
部長	16052
任何	16039
所謂	16036
分鐘	16026
財政	16024
一起	16022
今天	15981
完全	15871
顯示	15842
武裝	15838
多種	15808
感覺	15788
越來	15776
發動	15772
來越	15770
創造	15752
逐漸	15706
當年	15688
長安	15638
治療	15623
高階	15621
恢復	15615
甚至	15603
貿易	15602
卻是	15594
有些	15587
裝備	15582
蘇聯	15560
精神	15559
困難	15558
從而	15550
羅斯	15474
同樣	15466
突然	15430
一塊	15424
政策	15401
年代	15377
相對	15370
事情	15366
理學	15348
控制	15347
當地	15330
這位	15312
產量	15292
哪裡	15276
心中	15260
用者	15256
宣佈	15250
競爭	15232
離開	15212
怎樣	15210
括號	15110
起義	15108
小說	15098
見到	15074
太陽	15064
引號	15048
數學	15030
解釋	15024
生長	15022
分號	15018
直接	15016
經常	15010
單指	15008
事實	15004
冒號	15000
問道	14974
隊伍	14924
中間	14912
貢獻	14896
總統	14880
新華	14848
可是	14820
儘管	14766
工人	14705
南京	14652
本來	14644
雙方	14620
一時	14612
減少	14612
參與	14602
進攻	14568
平原	14475
水平	14450
利亞	14412
衛生	14402
以為	14400
公園	14400
一邊	14394
進來	14388
決議	14378
簡單	14376
年輕	14360
兩種	14314
銷售	14288
交通	14265
力量	14219
從事	14194
公路	14155
教師	14108
數量	14100
成立	14088
確定	14082
生物	14056
不敢	14034
內部	14034
發達	14026
又稱	14022
分析	14003
女兒	13994
連續	13982
將軍	13977
利用	13925
算機	13924
門廣	13904
收入	13901
不到	13895
開展	13892
紡織	13882
印度	13881
放軍	13848
促進	13794
就是	13789
屬於	13754
資金	13744
至於	13739
一隻	13706
制定	13705
體制	13692
也許	13692
圖片	13692
媒體	13688
一會	13682
千米	13644
蒙古	13639
產階	13632
來自	13608
複雜	13586
還要	13580
俄羅	13534
州市	13530
看來	13508
紀念	13488
適應	13474
土地	13458
看到	13432
無論	13392
辦公	13370
利潤	13364
商品	13362
帶來	13356
左右	13347
較大	13312
討論	13290
電影	13276
國主	13258
每個	13236
大多	13222
朝鮮	13178
方米	13177
支援	13176
糧食	13164
自由	13162
法院	13146
變成	13134
家裡	13131
老師	13126
證明	13080
應當	13078
職權	13072
很多	13045
成績	13024
空軍	13022
錯誤	13016
導致	13008
創作	12974
院長	12972
軟體	12968
對方	12962
事務	12898
全省	12898
構成	12886
廣州	12862
公民	12834
兒童	12826
擔任	12818
曾經	12770
產值	12750
主張	12742
正確	12740
原因	12739
難以	12734
對外	12728
希望	12725
意識	12690
強調	12678
及其	12675
金屬	12652
門城	12650
植物	12649
共同	12611
境內	12582
檢查	12524
分子	12519
面對	12500
難道	12494
各個	12464
山東	12458
優勢	12458
重大	12453
社群	12442
關鍵	12440
壓力	12418
代化	12414
政權	12372
就業	12344
令狐	12338
未來	12336
亞洲	12330
一級	12314
安全	12288
成功	12256
江大	12256
處於	12250
攻擊	12220
一場	12210
總是	12178
發揮	12170
重視	12150
天門	12148
引起	12131
空間	12130
武昌	12081
最終	12074
型別	12048
培養	12044
公元	12026
裡面	12018
規劃	11996
基地	11964
她們	11932
樣子	11922
特徵	11912
取得	11906
兄弟	11896
統計	11896
各國	11890
現實	11882
遺址	11844
武器	11806
聽說	11786
全部	11754
發區	11738
確實	11730
明確	11712
書長	11712
地位	11708
夫人	11694
團體	11670
十年	11655
區劃	11630
一張	11580
按照	11557
人物	11548
訊息	11544
水產	11530
受到	11476
點頭	11476
下去	11473
封建	11470
周圍	11466
廣東	11430
發射	11428
哲學	11406
宣傳	11394
出口	11381
本報	11362
工資	11350
品種	11346
試驗	11344
發出	11342
想到	11340
博物	11314
抗日	11289
身邊	11282
絕對	11280
婦女	11272
職工	11272
成員	11272
實踐	11270
風景	11268
眼睛	11262
成長	11248
明白	11246
城邦	11242
剛才	11234
批准	11225
東部	11220
維護	11208
願意	11192
適當	11186
研製	11167
公開	11166
政協	11156
材料	11154
省級	11154
身上	11142
洪山	11140
